ZYTI,WIBD,KVJI,CSTT,OFSQ,RXUY,GWEE,NANX,PMLC,JIEK,GXSO,PTAX,RLCO,RNOZ,QRWO,PSSJ,WBYY,BDGK,FWKW,PFKF,ZKOY,XBUG,OMXX,IXKB,YKJO,GQUZ,VKRW,DDTT,QXYM,MHEC,TUXT,UZSD,AOQU,RJWA,VTQI,ROQE,ZMHO,RTDN,MJXP,XYKI,RESP__0,RESP__1,RESP__2,RESP__3,RESP__4
71243458.88690852,66780003.23249369,98615834.8241663,52159482.56117151,82784798.00617953,60560023.31771267,75041048.78880121,83658129.43127848,50150294.01281183,67148304.13857159,77076421.74520102,82684341.55995448,68347063.23106696,86863631.66238013,51370607.8586508,76935314.59720963,105443191.56660278,89130691.34453793,77893656.64221397,64429994.21767906,80929490.81225067,63259010.67084626,98136879.15935333,83972335.36705832,53105950.26699839,64720888.50009859,102664732.60388447,75946239.4933461,83069184.14110847,102137489.91103052,73393667.46745682,86061781.90840057,64023499.74118929,85571873.5625377,70127581.3465214,93842606.08280182,65363263.588700525,54351366.2627504,86923737.15743968,77900977.59137446,36519700861.36076,46449066259.069855,18668982874.57722,32485914680.50183,46799551615.787865
57970862.07728222,52206572.93108849,98309387.02801965,64901682.897473596,57695764.36746716,69586247.14035757,92967909.39739116,95095870.61989415,63773492.0747537,91303795.85450855,112032360.81177092,98178611.85955548,64604823.260036215,81374620.04454753,58783074.9445522,89711575.45912442,39303004.81084073,59667815.77085854,56011231.168872364,-132762894187.58829,88213291.48851816,60057775.492686436,65721207.13475643,106337128.39857072,87027819.84873573,97363666.5605365,86796798.67583455,72357564.975629,89473364.68513215,87506669.58337344,95533827.80156274,41991317.197954156,56712779.15738396,56868989.79574532,48144431.38724476,58506159.2007904,97113018.54325898,94065372.48496212,91826626.8781961,72714799.93932624,28442049767.828587,42252211000.022964,20559074546.22922,28466891419.591854,23629853798.541317
89331089.51049921,59058481.656934984,90340950.98559198,68251937.91355611,89272597.48780008,67021603.63784451,82638628.45017755,94750705.36503991,60923890.595392406,53998583.56195885,64635905.58086878,80426912.3116936,59588103.00683621,86360346.40430261,79552415.59384373,86348427.75161901,99173173.9837645,93650921.4592501,77781446.28248118,51172977.75187135,82046002.65842247,59197967.62968357,95010711.81687947,72283536.21905458,40279225.7907009,85016408.80668749,92035749.88450949,61086756.63410649,82570996.5857204,74411055.15719552,71433974.72584881,83743626.35926726,69568798.1165254,73818578.58718002,61175673.27507239,91553527.28947656,66397909.15593497,42828943.43174528,86023891.74409276,80857454.19664617,33984056943.228825,43317034961.763405,18889311406.76187,34023763222.63056,45049740058.36789
41574324.54127769,87279722.31068213,101620049.21358526,90873708.86792825,94655232.50324139,43986235.2258353,76249389.36245826,67893999.19905356,48313131.00809879,68304099.42017053,88727645.93991129,100124133.16010006,70052071.93627621,68627709.75841182,78360135.82231231,57881674.17562354,71188279.49110305,100948619.64077167,51837919.198256634,62755499.626287274,69570160.52685906,69289301.69872923,55869551.245009035,76300469.24268396,81159663.06605244,47561358.13802639,69915645.44260566,97856302.17049491,72167148.63544168,86991844.79284833,58931006.120989144,56240123.93370992,87968852.53765051,90615215.23675239,55414659.49568109,64591587.78148231,90276647.66245224,56330658.069345966,81016608.49633285,72399216.33148105,33374977724.665,45330357093.554,17586064449.454437,25782378641.62739,36465598403.50693
90557528.90743734,57388025.488219306,57568362.19853688,75526475.58607598,60713729.34205614,83224954.11076972,85599718.35603258,81734935.01175198,97263945.06705208,78009778.11793171,54979381.10536022,53401749.84230502,50981332.5625033,65076827.86445975,56941073.4604455,97149817.50893311,58031957.693665884,96913308.91077134,101901223.12858284,75134263.72967543,90765936.2788011,85933000.70551433,85667718.59515055,72524102.82502256,80348596.99080102,59570467.24876954,73459898.36368784,81590993.57715353,87754171.48060332,85840959.84960839,45921221.88581882,68970801.0217928,58581023.417683534,54023889.74114295,79660369.70774089,72331407.63715056,60207543.17420656,57404939.27796871,91207189.35157438,69753489.38376066,36076115306.28484,45277780420.7335,12506633621.65408,35129390474.048546,32023235412.09511
64719215.24822519,61633085.81636273,68999277.29937594,75853262.21153267,62417390.43103908,72197263.11623171,51822461.75551022,81706259.80159657,78283460.27509479,90971342.96856813,51252828.96332182,59987963.22614802,60998450.447575286,55933816.08246058,37465000.68750675,46132131.43390988,98052133.89854525,55660114.93201384,55782195.27392685,93192481.60075074,70973867.57352805,67661476.28669912,64590482.97315651,76670381.53011009,68957203.14959635,89228294.28771949,56611921.37169396,99354253.70130615,68939530.90107735,53553622.03456988,69934320.96789108,59192970.47908088,62105846.36365168,59568626.79712379,81029045.20077896,53852126.29839277,85069154.77252221,65569779.23897195,82776485.11981532,76934131.2886711,22307156695.546085,47567595941.80943,16881062658.948,29961637669.53784,38274086789.02598
88851310.80289353,56261659.26340053,46698961.80211298,62164062.84039054,35156992.74502385,89832707.12674884,78490520.04419269,73028131.85747573,96755629.04879795,71641156.8035549,56639855.54247759,62247192.040837064,68058492.20437269,48058874.35174296,44540708.23308425,93662071.86481082,67503313.62932745,87730423.52670301,92898521.94397208,83105404.90570107,89554407.30938463,100252909.58686785,75937175.84436338,76065399.97268476,82853656.12918225,71812925.36403693,78937155.4922394,79420940.8823673,93929164.89096285,95882874.2951635,58554610.974484965,40017245.259948604,45338012.68192207,62017745.90697429,72594546.80221695,70159245.26941605,73649666.4545851,55763297.50424196,100377901.06612897,56928412.47163563,36720095817.98112,46204551805.46387,13283133486.624031,38796723849.00748,25008701478.573616
72364435.52706197,84390534.54572548,79153593.28524446,55230544.76266228,68540470.60420406,59493295.989529796,75107220.8595803,58793166.42668011,53634850.84537121,94080963.18564747,62508448.02266583,66401653.355712265,67026233.95459018,84388276.74251397,83185756.06477717,55209818.33400195,75810582.77784581,100232691.21341492,73039046.74331926,87846469.56644894,80618753.55416246,74530508.04440115,86512822.5011853,73384634.39094292,91665455.12577276,72065712.03003034,91594166.65118536,93289874.93806563,53415235.06624847,53968650.18905298,98631744.74541427,74098822.75876483,93176902.75186367,74959470.41806184,75265549.53630562,60937902.204071596,74293498.6705471,62466992.151386246,87934791.6135238,79302857.57969223,32220806716.97806,47220772321.63657,16346088772.701979,29538132680.88035,37187306139.73556
44461492.9256466,86063438.2252099,96137666.89476435,97048821.70184645,81087457.42754546,54308178.23223051,67011437.13253034,62260191.544619694,65817300.06591761,80875406.15286519,98675152.38027284,115581875.341946,56961642.6185652,40885446.29800326,78272529.86092961,66509394.05253464,76334550.01782943,93665947.43584554,64571830.06832522,55814978.47175171,74938988.09344007,57061374.6137134,58896683.46539163,80288528.06167765,56732987.79562951,55339708.57879495,67458977.46628872,101079727.79692256,71943459.49782926,100007622.84480667,69703505.87147194,51887645.55078938,98652670.91832907,101266824.80006291,66685078.67103506,71970461.83422081,77883534.72463189,47350885.77569066,68757735.49424915,61254010.82260551,33320881208.63615,43025370643.53659,16771698878.98668,27146529269.902203,33797002103.86266
107057875.110617,57755604.55918824,58653447.97580433,90721470.67459425,75182199.09597991,68900758.37107429,74426813.68988068,84442866.8712076,102008970.55570841,96913473.62335122,55564657.10843966,83350665.9525078,90867723.99519952,62822891.46093045,60540095.36878871,62335919.074637085,61440669.35861384,96815340.27929066,59986030.00621753,63197440.08454286,65557406.08875413,63941646.1782406,77069651.13082577,72080757.35836229,67274669.76970014,64972301.630721286,56948044.729774386,77825945.53852823,80935851.28658351,54998552.50180426,100226196.26232299,76137322.77466369,75464374.88716722,41354440.30234457,51985147.474139474,58352709.790502846,68848326.60048328,65033996.745928325,46194076.185636714,68576451.67965707,35301174591.720345,42868899649.82107,15350438600.877548,29359548391.086117,35903956143.0275
